"Card","LiveBasal","DeadBasal","TotalBasal","LiveBasal_PLI","DeadBasal_PLI","TotalBasal_PLI","LiveBasal_FDI","DeadBasal_FDI","TotalBasal_FDI","LiveBasal_Spruce","DeadBasal_Spruce","TotalBasal_Spruce","LiveBasal_NonCon","DeadBasal_NonCon","TotalBasal_NonCon"
-1291634974,1.04489371658397,0,1.04489371658397,1.04489371658397,0,1.04489371658397,0,0,0,0,0,0,0,0,0
0,0.119459060652752,0.240331837999619,0.359790898652371,0,0,0,0.119459060652752,0.240331837999619,0.359790898652371,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.8101271459154,0,13.8101271459154,13.8101271459154,0,13.8101271459154,0,0,0,0,0,0,0,0,0
20,0,7.67428253418915,7.67428253418915,0,6.46665431814923,6.46665431814923,0,0,0,0,1.20762821603992,1.20762821603992,0,0,0
141,0.220618344098343,1.59168791794127,1.81230626203961,0,0.36316811075498,0.36316811075498,0.220618344098343,1.22851980718629,1.44913815128463,0,0,0,0,0,0
158,0.444613900299295,0,0.444613900299295,0,0,0,0,0,0,0.444613900299295,0,0.444613900299295,0,0,0
159,93.6636789935751,0,93.6636789935751,0,0,0,93.6636789935751,0,93.6636789935751,0,0,0,0,0,0
161,19.3241720316798,0,21.8688620810876,0,0,0,0,0,0,0.502654824574367,0,0.502654824574367,18.8215172071055,0,21.3662072565132
162,9.59520936222663,1.05683176866761,10.6520411308942,1.79078635236252,0,1.79078635236252,0,0,0,0,0,0,7.8044230098641,1.05683176866761,8.86125477853171
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4.5112485107386,0.907056338907713,5.41830484964632,4.5112485107386,0.907056338907713,5.41830484964632,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3.43572426578214,1.02070345315132,4.45642771893346,2.43284935093994,1.02070345315132,3.45355280409126,0,0,0,0,0,0,1.0028749148422,0,1.0028749148422
197,0,0.125663706143592,0.125663706143592,0,0.125663706143592,0.125663706143592,0,0,0,0,0,0,0,0,0
227,7.88547610032672,5.08026948012005,12.9657455804468,7.88547610032672,5.08026948012005,12.9657455804468,0,0,0,0,0,0,0,0,0
229,9.02021936680336,3.14072871561006,12.1609480824134,0,0,0,0,0,0,0,0,0,9.02021936680336,3.14072871561006,12.1609480824134
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,3.03242230887755,3.03242230887755,0,3.03242230887755,3.03242230887755,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0.519697964720092,0.519697964720092,0,0.519697964720092,0.519697964720092,0,0,0,0,0,0,0,0,0
270,0.173494454294496,0,0.173494454294496,0.173494454294496,0,0.173494454294496,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,3.87986692718339,3.87986692718339,0,1.33517687777566,1.33517687777566,0,0,0,0,2.54469004940773,2.54469004940773,0,0,0
281,0,1.58367685667461,1.58367685667461,0,1.58367685667461,1.58367685667461,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,2.72957277707149,2.72957277707149,0,0.6647610054996,0.6647610054996,0,2.06481177157189,2.06481177157189,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,4.39838679465839,4.39838679465839,0,0,0,0,4.39838679465839,4.39838679465839,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0.701282020097582,0.974914740225253,1.67619676032283,0.4185386812745,0,0.4185386812745,0.282743338823081,0.974914740225253,1.25765807904833,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,3.14159265358979,1.51495451737734,4.65654717096713,0,1.51495451737734,1.51495451737734,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1.20762821603992,2.67325972875589,3.88088794479581,1.20762821603992,2.67325972875589,3.88088794479581,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0.576874951015426,0,0.576874951015426,0.395919214168654,0,0.395919214168654,0.180955736846772,0,0.180955736846772,0,0,0,0,0,0
371,0,29.9117319733591,29.9117319733591,0,0,0,0,29.6993603099765,29.6993603099765,0,0.21237166338267,0.21237166338267,0,0,0
375,3.26230835130398,24.9832014184075,28.2455097697114,0,0,0,3.26230835130398,24.9832014184075,28.2455097697114,0,0,0,0,0,0
407,1.80429520077296,0,1.80429520077296,1.80429520077296,0,1.80429520077296,0,0,0,0,0,0,0,0,0
408,4.14588128512611,1.10851096781916,5.25439225294527,4.14588128512611,1.10851096781916,5.25439225294527,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,0,5.55716324493499,5.55716324493499,0,0,0,0,5.55716324493499,5.55716324493499,0,0,0,0,0,0
420,1.5822631399805,0.940671380301124,2.52293452028162,1.5822631399805,0.940671380301124,2.52293452028162,0,0,0,0,0,0,0,0,0
421,0,1.97064253178054,1.97064253178054,0,0,0,0,1.97064253178054,1.97064253178054,0,0,0,0,0,0
423,0,8.55298599939821,8.55298599939821,0,0,0,0,8.55298599939821,8.55298599939821,0,0,0,0,0,0
424,0,4.62795867781946,4.62795867781946,0,0,0,0,0,0,0,0,0,0,4.62795867781946,4.62795867781946
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,0,1.30643130499532,1.30643130499532,0,1.30643130499532,1.30643130499532,0,0,0,0,0,0,0,0,0
456,2.91704731867446,16.9685273202019,19.8855746388763,2.91704731867446,16.9685273202019,19.8855746388763,0,0,0,0,0,0,0,0,0
460,0,9.18633107836192,9.18633107836192,0,0,0,0,9.18633107836192,9.18633107836192,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,0,8.29773159629404,8.29773159629404,0,0.00196349540849362,0.00196349540849362,0,8.29576810088555,8.29576810088555,0,0,0,0,0,0
467,0,15.8703050683232,15.8703050683232,0,0,0,0,15.8703050683232,15.8703050683232,0,0,0,0,0,0
469,3.90570652675917,0,3.90570652675917,3.90570652675917,0,3.90570652675917,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,0,1.18477312948505,1.18477312948505,0,0,0,0,1.18477312948505,1.18477312948505,0,0,0,0,0,0
503,0,9.78904562895312,9.78904562895312,0,0,0,0,9.78904562895312,9.78904562895312,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,0,11.3095764732906,11.3095764732906,0,0,0,0,9.94109871338686,9.94109871338686,0,1.36847775990371,1.36847775990371,0,0,0
535,0,1.4957122623741,1.4957122623741,0,1.4957122623741,1.4957122623741,0,0,0,0,0,0,0,0,0
536,0,0.968003236387355,0.968003236387355,0,0,0,0,0.968003236387355,0.968003236387355,0,0,0,0,0,0
538,0,0.311724531052447,0.311724531052447,0,0.311724531052447,0.311724531052447,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,0,0.292246656600191,0.292246656600191,0,0,0,0,0,0,0,0.292246656600191,0.292246656600191,0,0,0
545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,0.502654824574367,3.37132161638355,3.87397644095791,0.502654824574367,0,0.502654824574367,0,0,0,0,0,0,0,3.37132161638355,3.37132161638355
577,30.5843469604927,0.967689077121996,31.5520360376147,0,0,0,30.5843469604927,0.967689077121996,31.5520360376147,0,0,0,0,0,0
581,0,1.73879299394561,1.96781509839231,0,0.865901475145687,0.865901475145687,0,0.872891518799924,1.10191362324662,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,32.216718503298,2.62967013068734,34.8463886339853,0,0,0,32.216718503298,2.62967013068734,34.8463886339853,0,0,0,0,0,0
620,0.407150407905237,1.01143575482323,1.41858616272847,0.407150407905237,0.220618344098343,0.627768752003581,0,0.790817410724891,0.790817410724891,0,0,0,0,0,0
653,0.708821842466197,49.5506130491123,50.2594348915785,0,0,0,0.708821842466197,49.5506130491123,50.2594348915785,0,0,0,0,0,0
657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,0,6.14848952215692,6.14848952215692,0,0,0,0,6.14848952215692,6.14848952215692,0,0,0,0,0,0
661,0.180955736846772,5.81045415263066,5.99140988947743,0,0,0,0.180955736846772,5.81045415263066,5.99140988947743,0,0,0,0,0,0
662,1.56145008865047,1.39596669562262,2.95741678427309,0,0,0,1.56145008865047,1.39596669562262,2.95741678427309,0,0,0,0,0,0
666,0,0.282743338823081,0.282743338823081,0,0,0,0,0.282743338823081,0.282743338823081,0,0,0,0,0,0
669,4.71435247579318,7.39860777883664,12.1129602546298,0,0,0,4.71435247579318,7.39860777883664,12.1129602546298,0,0,0,0,0,0
707,0,0.930618283809636,0.930618283809636,0,0.145220120412188,0.145220120412188,0,0.785398163397448,0.785398163397448,0,0,0,0,0,0
708,0,16.5122895270843,16.5122895270843,0,0,0,0,16.5122895270843,16.5122895270843,0,0,0,0,0,0
711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,0,0.407150407905237,0.407150407905237,0,0,0,0,0.407150407905237,0.407150407905237,0,0,0,0,0,0
718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,0,4.92892325403337,4.92892325403337,0,0,0,0,4.92892325403337,4.92892325403337,0,0,0,0,0,0
758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,0.132025431267111,0,0.132025431267111,0,0,0,0.132025431267111,0,0.132025431267111,0,0,0,0,0,0
806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,0,2.23029516459973,2.23029516459973,0,0.882473376393373,0.882473376393373,0,1.34782178820636,1.34782178820636,0,0,0,0,0,0
810,14.0530507978542,0,14.0530507978542,0,0,0,14.0530507978542,0,14.0530507978542,0,0,0,0,0,0
812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0.465662571078347,0,0.465662571078347,0,0,0,0.465662571078347,0,0.465662571078347,0,0,0,0,0,0
815,0.24630086404144,0,0.24630086404144,0,0,0,0.24630086404144,0,0.24630086404144,0,0,0,0,0,0
844,0,6.157521601036,6.157521601036,0,6.157521601036,6.157521601036,0,0,0,0,0,0,0,0,0
845,0,1.20762821603992,1.20762821603992,0,1.20762821603992,1.20762821603992,0,0,0,0,0,0,0,0,0
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,3.43093333698541,0.754296396126909,4.18522973311232,3.43093333698541,0.754296396126909,4.18522973311232,0,0,0,0,0,0,0,0,0
851,1.38929081123375,0,1.38929081123375,1.38929081123375,0,1.38929081123375,0,0,0,0,0,0,0,0,0
852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,0,3.20473866592695,3.20473866592695,0,0,0,0,3.20473866592695,3.20473866592695,0,0,0,0,0,0
859,0,3.04805173232916,3.04805173232916,0,3.04805173232916,3.04805173232916,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,0,2.85719997862358,2.85719997862358,0,0,0,0,2.85719997862358,2.85719997862358,0,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,0,4.1065328371399,4.1065328371399,0,4.1065328371399,4.1065328371399,0,0,0,0,0,0,0,0,0
895,0.985203456165759,0,0.985203456165759,0.985203456165759,0,0.985203456165759,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,10.9858353503381,0,10.9858353503381,0,0,0,10.9858353503381,0,10.9858353503381,0,0,0,0,0,0
903,0,2.25974759572714,2.25974759572714,0,0,0,0,2.25974759572714,2.25974759572714,0,0,0,0,0,0
907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,0,0.395919214168654,0.395919214168654,0,0.395919214168654,0.395919214168654,0,0,0,0,0,0,0,0,0
974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,0,12.993548675431,12.993548675431,0,0,0,0,12.993548675431,12.993548675431,0,0,0,0,0,0
988,0,0.196349540849362,0.196349540849362,0,0.196349540849362,0.196349540849362,0,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,0,0.67709175666494,0.67709175666494,0,0,0,0,0.67709175666494,0.67709175666494,0,0,0,0,0,0
1045,13.3964579332539,0,13.3964579332539,0,0,0,13.3964579332539,0,13.3964579332539,0,0,0,0,0,0
1049,0,0.838333999610436,0.838333999610436,0,0.838333999610436,0.838333999610436,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,0.430084034276443,0,0.430084034276443,0.430084034276443,0,0.430084034276443,0,0,0,0,0,0,0,0,0
1053,0.180955736846772,0,0.180955736846772,0,0,0,0.180955736846772,0,0.180955736846772,0,0,0,0,0,0
1068,0,1.16898662640076,1.16898662640076,0,0,0,0,1.16898662640076,1.16898662640076,0,0,0,0,0,0
1069,0,2.08672438033068,2.08672438033068,0,0,0,0,2.08672438033068,2.08672438033068,0,0,0,0,0,0
1075,11.9459060652752,24.7647036493503,36.7106097146255,0,0,0,11.9459060652752,24.7647036493503,36.7106097146255,0,0,0,0,0,0
1080,0,4.20384366958484,4.20384366958484,0,1.52728526854268,1.52728526854268,0,0,0,0,2.14358720736066,2.14358720736066,0,0.532971193681508,0.532971193681508
1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,17.2178912370806,0,17.2178912370806,0,0,0,17.2178912370806,0,17.2178912370806,0,0,0,0,0,0
1109,0,6.47600055629366,6.47600055629366,0,0,0,0,6.47600055629366,6.47600055629366,0,0,0,0,0,0
1110,8.37705681079719,1.27807843129667,9.65513524209385,0,0,0,8.37705681079719,1.27807843129667,9.65513524209385,0,0,0,0,0,0
1111,27.9615883336433,0.931325142156694,28.8929134758,0,0.931325142156694,0.931325142156694,27.9615883336433,0,27.9615883336433,0,0,0,0,0,0
1113,0,0.311724531052447,0.311724531052447,0,0.311724531052447,0.311724531052447,0,0,0,0,0,0,0,0,0
1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,23.7649703271617,2.80182940810406,26.5667997352657,0,0,0,23.7649703271617,2.80182940810406,26.5667997352657,0,0,0,0,0,0
1144,0,2.756276314627,2.756276314627,0,2.756276314627,2.756276314627,0,0,0,0,0,0,0,0,0
1145,0,1.8587232934964,1.8587232934964,0,1.8587232934964,1.8587232934964,0,0,0,0,0,0,0,0,0
1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,1.80138922756839,0,2.11311375862083,1.80138922756839,0,2.11311375862083,0,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,0,0.678034234461017,0.678034234461017,0,0,0,0,0.678034234461017,0.678034234461017,0,0,0,0,0,0
1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,0,0.55417694409324,0.55417694409324,0,0.55417694409324,0.55417694409324,0,0,0,0,0,0,0,0,0
1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,1.21917356904186,0,1.21917356904186,1.21917356904186,0,1.21917356904186,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,0.180955736846772,0.204282062299676,0.385237799146448,0.180955736846772,0.204282062299676,0.385237799146448,0,0,0,0,0,0,0,0,0
1209,1.04261606191011,0,1.04261606191011,1.04261606191011,0,1.04261606191011,0,0,0,0,0,0,0,0,0
1214,0.801184666481737,0.352565235549115,1.15374990203085,0,0,0,0.801184666481737,0.352565235549115,1.15374990203085,0,0,0,0,0,0
1219,10.9931395532577,0,10.9931395532577,0,0,0,10.9931395532577,0,10.9931395532577,0,0,0,0,0,0
1220,8.04561878584346,0,8.04561878584346,0,0,0,8.04561878584346,0,8.04561878584346,0,0,0,0,0,0
1221,0,1.26959613113198,1.26959613113198,0,1.26959613113198,1.26959613113198,0,0,0,0,0,0,0,0,0
1222,0,0.132025431267111,0.463856155302533,0,0,0,0,0.132025431267111,0.463856155302533,0,0,0,0,0,0
1225,4.81346972401394,1.32622333871293,6.13969306272687,4.81346972401394,1.32622333871293,6.13969306272687,0,0,0,0,0,0,0,0,0
1235,4.10331270466997,0,4.10331270466997,4.10331270466997,0,4.10331270466997,0,0,0,0,0,0,0,0,0
1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,16.5468470462738,0,16.5468470462738,0,0,0,16.5468470462738,0,16.5468470462738,0,0,0,0,0,0
1257,0,0.229022104446696,0.229022104446696,0,0,0,0,0.229022104446696,0.229022104446696,0,0,0,0,0,0
1258,4.752915525616,3.61715124152695,8.37006676714295,0,0,0,4.752915525616,3.61715124152695,8.37006676714295,0,0,0,0,0,0
1259,0.282743338823081,0.204282062299676,0.487025401122758,0,0,0,0,0.204282062299676,0.204282062299676,0,0,0,0.282743338823081,0,0.282743338823081
1261,0.331830724035422,0,0.331830724035422,0,0,0,0.331830724035422,0,0.331830724035422,0,0,0,0,0,0
1264,0,5.36552609306601,5.36552609306601,0,5.36552609306601,5.36552609306601,0,0,0,0,0,0,0,0,0
1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
